,hpi_change_percent,zip_code
38,233.95010011218244,94601.0
74,253.52262267223674,92256.0
112,234.21408196967423,85756.0
132,223.35432876373966,85208.0
148,228.0053191489362,33023.0
151,214.77743124468387,48066.0
262,220.85876198779428,33054.0
283,221.40918115149304,85304.0
288,262.387940101167,85201.0
311,247.73579171309902,33056.0
339,249.6471062714257,33055.0
340,235.1642150408186,33612.0
394,228.85012813094158,92236.0
437,226.65614312023146,33614.0
444,209.2896752046475,92234.0
447,234.82490272373542,33952.0
487,212.3738780563293,33063.0
494,242.6415291414247,33610.0
517,242.46708922476833,84101.0
535,229.2697356258088,92220.0
596,216.77281488309728,95833.0
616,243.2528607312308,85305.0
620,210.45666084933097,33955.0
638,219.63440860215053,85173.0
677,241.8284089504265,33619.0
678,330.18290956452796,92252.0
705,250.71043606075452,85204.0
764,330.1645175633615,85301.0
850,302.11700632466614,85303.0
869,221.95812683321532,33035.0
880,290.45428407130527,76115.0
895,229.94034897444888,85202.0
920,258.88701728117786,92240.0
952,247.47605674371712,85302.0
974,223.42749182065344,33030.0
976,263.1912797142505,33032.0
987,253.53504866822607,33034.0
1018,243.92641405820973,33033.0
1076,221.30460801915024,97701.0
1122,253.34068447275996,33785.0
1161,273.23901564212406,95838.0
1202,219.00031240237425,33781.0
1219,220.64188269457637,33755.0
1245,248.04597701149427,32810.0
1246,219.64689722042667,33712.0
1329,424.23442449841605,32811.0
1346,218.6710197810639,33711.0
1373,248.58884778736814,32807.0
1383,210.27715108494283,92335.0
1392,240.58290087539967,33714.0
1409,285.46149490373733,32808.0
1447,246.28746594005446,33713.0
1457,225.1507860650604,85281.0
1529,216.61493518349457,97702.0
1583,244.6026311047035,32738.0
1690,240.99732491940463,32773.0
1717,246.66621493427292,92345.0
1792,234.0569173244703,85257.0
1843,226.042129588481,32763.0
1912,287.55514517287367,92301.0
1915,213.56117268111595,32962.0
2001,395.14355092129694,92285.0
2036,210.0758121214688,85224.0
2040,283.73743852897155,95815.0
2044,252.812031328112,95605.0
2141,227.3078175138353,85210.0
2204,210.89146914883412,76106.0
2265,237.97258592471357,94603.0
2268,208.78705384150027,92277.0
2282,240.42428826846378,92284.0
2309,212.2113861798783,85212.0
2365,237.2826086956522,32822.0
2382,217.21585837548346,92316.0
2384,233.53514560755588,33709.0
2420,236.02480144907344,32824.0
2465,249.45884146341467,32818.0
2475,214.0324816795405,92322.0
2482,211.69733750978858,33710.0
2561,218.6108073890775,85225.0
2625,213.72378960257126,92308.0
2633,208.77762517168185,33838.0
2750,219.20681986656786,32829.0
2850,243.89838029731533,34952.0
2880,237.53794778384943,34953.0
