,hpi_change_percent,zip_code,lat,lon
0,233.95010011218244,94601.0,37.775101163,-122.221566126
1,253.52262267223676,92256.0,34.061337322,-116.546048867
2,234.21408196967425,85756.0,32.124165225,-110.882485992
3,223.3543287637397,85208.0,33.406733986,-111.639899671
4,228.0053191489362,33023.0,25.989346757,-80.209793376
5,214.77743124468387,48066.0,42.504330965,-82.936585954
6,220.85876198779428,33054.0,25.911305088,-80.245978576
7,221.40918115149304,85304.0,33.597973646,-112.164001191
8,262.387940101167,85201.0,33.429977982,-111.847171789
9,247.73579171309905,33056.0,25.946135563,-80.247969769
10,249.6471062714257,33055.0,25.94474614,-80.277405431
11,235.1642150408186,33612.0,28.051959489,-82.452181668
12,228.8501281309416,92236.0,33.680565979,-116.187329734
13,226.65614312023143,33614.0,28.011281411,-82.506298104
14,209.2896752046475,92234.0,33.789240234,-116.46832479
15,234.82490272373545,33952.0,26.985456148,-82.100053127
16,212.3738780563293,33063.0,26.252059821,-80.211056907
17,242.6415291414247,33610.0,27.991321983,-82.402716632
18,242.46708922476836,84101.0,40.762058705,-111.897063717
19,229.2697356258088,92220.0,33.926204581,-116.892132038
20,216.77281488309728,95833.0,38.614542539,-121.503560658
21,243.2528607312308,85305.0,33.528280483,-112.255446728
22,210.45666084933097,33955.0,26.825163369,-82.01596112
23,219.63440860215053,85173.0,33.290706973,-111.101119407
24,241.8284089504265,33619.0,27.939288542,-82.375040315
25,330.182909564528,92252.0,34.139721477,-116.304674045
26,250.7104360607545,85204.0,33.400028037,-111.793027306
27,330.1645175633615,85301.0,33.533001159,-112.172288644
28,302.11700632466614,85303.0,33.537787022,-112.219297701
29,221.9581268332153,33035.0,25.452761767,-80.448243655
30,290.45428407130527,76115.0,32.680616402,-97.331047022
31,229.94034897444888,85202.0,33.371621468,-111.876823274
32,258.88701728117786,92240.0,33.946377738,-116.501722367
33,247.47605674371712,85302.0,33.570512089,-112.174531087
34,223.42749182065344,33030.0,25.478824646,-80.488271231
35,263.1912797142505,33032.0,25.530378664,-80.395231414
36,253.53504866822607,33034.0,25.443996862,-80.490467325
37,243.92641405820973,33033.0,25.485170202,-80.431754057
38,221.30460801915024,97701.0,44.075282734,-121.271447309
39,253.34068447276,33785.0,27.870601919,-82.837574885
40,273.23901564212406,95838.0,38.645336083,-121.444441667
41,219.00031240237425,33781.0,27.838612741,-82.710936765
42,220.6418826945764,33755.0,27.977723907,-82.780021416
43,248.04597701149427,32810.0,28.623320428,-81.420417372
44,219.64689722042667,33712.0,27.742129409,-82.665387395
45,424.2344244984161,32811.0,28.504233241,-81.452096911
46,218.6710197810639,33711.0,27.744383376,-82.684865715
47,248.5888477873681,32807.0,28.542287027,-81.30651363
48,210.27715108494283,92335.0,34.09461359,-117.476549991
49,240.58290087539967,33714.0,27.81665609,-82.675744953
50,285.46149490373733,32808.0,28.581270628,-81.441395233
51,246.2874659400545,33713.0,27.787439017,-82.671799087
52,225.1507860650604,85281.0,33.44345357,-111.928260941
53,216.61493518349457,97702.0,44.042691033,-121.318979839
54,244.6026311047035,32738.0,28.910017573,-81.190129412
55,240.99732491940463,32773.0,28.763272807,-81.276436417
56,246.6662149342729,92345.0,34.424211193,-117.322681237
57,234.0569173244703,85257.0,33.46836641,-111.917360548
58,226.042129588481,32763.0,28.943541097,-81.298861554
59,287.55514517287367,92301.0,34.556352485,-117.398951592
60,213.56117268111595,32962.0,27.586573208,-80.392372109
61,395.14355092129694,92285.0,34.267093933,-116.402305567
62,210.0758121214688,85224.0,33.34406574,-111.876616494
63,283.73743852897155,95815.0,38.602399014,-121.447632614
64,252.812031328112,95605.0,38.59229846,-121.527253119
65,227.3078175138353,85210.0,33.376624939,-111.847756744
66,210.8914691488341,76106.0,32.799394718,-97.351396042
67,237.9725859247136,94603.0,37.698484893,-122.184397864
68,208.78705384150027,92277.0,34.122552264,-116.297903403
69,240.42428826846376,92284.0,34.12191065,-116.422587052
70,212.2113861798783,85212.0,33.319069444,-111.649140631
71,237.2826086956522,32822.0,28.490506701,-81.291365235
72,217.21585837548344,92316.0,34.066328548,-117.395741884
73,233.53514560755588,33709.0,27.814164806,-82.729950483
74,236.02480144907344,32824.0,28.380055122,-81.363297344
75,249.45884146341467,32818.0,28.563375969,-81.482389642
76,214.0324816795405,92322.0,34.252653,-117.324727
77,211.69733750978855,33710.0,27.790389548,-82.715305972
78,218.6108073890775,85225.0,33.328738043,-111.841333364
79,213.7237896025713,92308.0,34.480050631,-117.214832723
80,208.77762517168185,33838.0,28.020679949,-81.618329189
81,219.20681986656783,32829.0,28.486666569,-81.243519392
82,243.89838029731533,34952.0,27.291968437,-80.298011265
83,237.53794778384943,34953.0,27.248022839,-80.38109213
84,252.5999908370367,34983.0,27.315276671,-80.350277141
85,397.26296582216287,85031.0,33.491398888,-112.163333097
86,233.3333333333333,34984.0,27.272013463,-80.343775585
87,252.730961298377,85354.0,33.497879984,-112.81544835
88,256.2382592360676,85029.0,33.597710326,-112.122169862
89,226.74520069808028,34982.0,27.394266825,-80.328018177
90,416.8436670310791,85363.0,33.595367012,-112.302788562
91,215.98904571308196,94565.0,38.010306496,-121.888284874
92,251.02589766045287,33403.0,26.803101884,-80.079980021
93,322.7038994429367,48030.0,42.460692326,-83.098255798
94,208.94838506805624,33405.0,26.674720272,-80.067267325
95,225.98058768780743,34950.0,27.445228604,-80.334469522
96,262.408196572672,85027.0,33.670276726,-112.105682304
97,231.3808922279104,34951.0,27.534787128,-80.408608856
98,506.1735474006116,85035.0,33.469965211,-112.193305034
99,211.6046831955923,34291.0,27.0724424,-82.2275283
100,368.6358364743403,85040.0,33.397998206,-112.040153071
101,277.4910160078406,85345.0,33.571546108,-112.247049329
102,330.5755700601848,85037.0,33.50415288,-112.283649963
103,210.60618694238303,34987.0,27.282141285,-80.445772881
104,292.1351652432232,85353.0,33.483009366,-112.260796648
105,279.59375451785456,95824.0,38.513598227,-121.438670436
106,426.0585135380701,85033.0,33.493768338,-112.214532545
107,214.50451830295603,85351.0,33.603781553,-112.282302473
108,358.1047574771424,85017.0,33.515966525,-112.124329563
109,255.9183790281037,85006.0,33.471387775,-112.051192862
110,233.41339738457432,85378.0,33.638056599,-112.334276528
111,210.9122983870968,33435.0,26.526906719,-80.064408585
112,230.6778822365166,33460.0,26.620525499,-80.05746954
113,211.54531417032908,85388.0,33.618708586,-112.422297054
114,290.8691903754213,34690.0,28.191972973,-82.728110485
115,266.2241887905605,34691.0,28.192863491,-82.75515499
116,252.1898227558605,33461.0,26.619701804,-80.093907946
117,237.6894409937888,85392.0,33.483499251,-112.312421769
118,211.10278131793996,33462.0,26.584333387,-80.072696604
119,278.615104941332,34668.0,28.3006496,-82.694814351
120,221.43000737117208,34608.0,28.480000421,-82.554704013
121,226.77501081381692,48021.0,42.46606525,-82.946531325
122,277.4289722904244,85009.0,33.470063536,-112.125103641
123,232.2901898405892,95828.0,38.498161037,-121.401593007
124,210.25216138328528,34609.0,28.476072791,-82.510886134
125,213.80154577312652,34667.0,28.37107974,-82.670892597
126,258.3945599499765,34606.0,28.479443,-82.605457383
127,237.1531825600373,85015.0,33.503713704,-112.101788492
128,236.9268558951965,95842.0,38.689003145,-121.341247495
129,221.8380455009304,34652.0,28.235700713,-82.730344669
130,213.8214087631725,85379.0,33.60849891,-112.371554599
131,263.17063647012884,85008.0,33.469429841,-112.001549506
132,246.1961574217539,34653.0,28.244147843,-82.696194039
133,217.51032448377575,34753.0,28.579032303,-81.891071991
134,253.5601189905,33407.0,26.746835029,-80.074305605
135,246.0459457525227,34769.0,28.249900626,-81.296078515
136,211.49954337899544,33406.0,26.659500054,-80.082990815
137,233.5997094079186,33409.0,26.713748494,-80.092223056
138,292.4759821173785,34759.0,28.104904782,-81.477673061
139,285.9421091445428,34758.0,28.234828051,-81.475843071
140,361.41457745309657,85019.0,33.517172248,-112.143144269
141,232.2262957371864,34741.0,28.304251264,-81.422457803
142,272.19793591419176,34743.0,28.327818505,-81.347458385
143,214.46190788037543,33470.0,26.747880468,-80.30110065
144,239.49320554060256,33413.0,26.665994081,-80.146598564
145,225.9030387972224,33417.0,26.715668542,-80.12351899
146,243.6452334666031,33415.0,26.660771566,-80.129073716
147,223.11553363860517,85122.0,32.890998359,-111.728899407
148,281.6214310891787,85120.0,33.424307958,-111.56282762
149,237.80645161290323,33142.0,25.813224791,-80.233788389
150,212.7475176490845,94585.0,38.244866594,-122.018162031
151,288.72152828802353,85323.0,33.426497043,-112.321560639
152,224.7848345451848,33150.0,25.851046144,-80.206174335
153,242.81661318078235,95832.0,38.466607682,-121.495795124
154,242.48240563019831,34205.0,27.483084274,-82.582186184
155,219.68351987649555,85139.0,33.053136796,-112.090612045
156,229.71685393258423,84104.0,40.741329772,-111.93229648
157,244.4905409890475,85307.0,33.519097088,-112.294873823
158,218.04891255301868,33604.0,28.016097127,-82.455007548
159,227.4663245670301,85138.0,33.062513306,-111.962794208
160,220.80747110073457,92201.0,33.695879743,-116.221325062
161,231.1542438199079,85306.0,33.622155006,-112.169514104
162,239.2868265337901,33607.0,27.961261054,-82.505950302
163,238.3715052300035,33068.0,26.215807762,-80.216992215
164,261.69449127195605,94590.0,38.108798192,-122.253413974
165,286.10870372663123,85128.0,32.978888048,-111.507870603
166,242.3439217122821,95820.0,38.532752548,-121.450311291
167,226.6640055882647,85123.0,32.755501467,-111.6703373
168,268.879123561903,94589.0,38.134962865,-122.247153355
169,253.00071275837496,33127.0,25.813893029,-80.205578309
170,261.55920281359903,34207.0,27.439507576,-82.57722533
171,232.270086594322,33602.0,27.951199196,-82.4566146
172,233.22848155561917,33603.0,27.982406696,-82.462812857
173,217.85399622404023,85339.0,33.372418175,-112.182318314
174,213.0888534570228,34266.0,27.198066694,-81.873813182
175,214.26910646608852,92113.0,32.698109187,-117.118207877
176,230.65444629601572,34287.0,27.050846633,-82.236023193
177,312.2824589958683,85041.0,33.375636333,-112.097935798
178,214.9075181742891,33189.0,25.574547362,-80.344929363
179,295.1884253028264,85043.0,33.443510679,-112.201850156
180,250.28816933878232,95823.0,38.474105648,-121.430257502
181,225.27457250104263,34286.0,27.073947725,-82.181515179
182,293.9314560139707,85042.0,33.375496311,-112.030630142
183,216.29792496908067,34234.0,27.365956802,-82.532890997
184,230.86608471780843,85053.0,33.633345016,-112.127552523
185,217.36625299822717,33161.0,25.893480964,-80.18246183
186,261.4249425426394,33162.0,25.928808267,-80.178571205
187,242.83692960735763,85326.0,33.394981105,-112.568253001
188,232.14381149034372,94509.0,38.003103915,-121.810616876
189,212.57442003695337,33177.0,25.596257343,-80.404306387
190,288.12468128505867,85051.0,33.559284051,-112.13681415
191,261.5626699821276,34237.0,27.337240758,-82.516977825
192,220.8685666562272,33169.0,25.946502132,-80.215777941
193,325.63641525503925,85335.0,33.599131284,-112.3316469
194,217.71258819160784,85706.0,32.155515108,-110.956656756
195,228.4217063892555,93552.0,34.558105175,-118.04266435
196,289.89816700611,89115.0,36.248486168,-115.047199892
197,233.0658105939005,80623.0,40.284047993,-104.780126302
198,219.50542005420056,95322.0,37.209843678,-121.007714719
199,239.98148779656063,89508.0,39.668727736,-119.965272093
200,226.44911405930011,93610.0,37.1395012,-120.349396039
201,277.0579301366891,89108.0,36.19721853,-115.228343162
202,229.91654825992111,80219.0,39.695522711,-105.035527053
203,229.12377304285368,95341.0,37.284516816,-120.471927275
204,283.6304401278584,89110.0,36.169993429,-115.065336338
205,223.43877135882832,30008.0,33.895557364,-84.587288565
206,289.6373679154659,89122.0,36.105141238,-115.065245475
207,248.51582950560567,89121.0,36.115615074,-115.089267305
208,240.1773919607473,89503.0,39.531871567,-119.826738476
