,hpi_change,zip_code
0,106.86000000000001,43022.0
1,232.14999999999998,43026.0
2,308.19,32413.0
4,135.86,46341.0
5,98.50000000000003,78023.0
6,52.349999999999994,60410.0
7,187.86,32541.0
8,93.67000000000002,40118.0
9,246.38,20164.0
10,78.94,15668.0
11,108.24000000000004,92880.0
12,127.41999999999999,32531.0
13,131.05000000000007,20191.0
14,80.83999999999999,56450.0
15,84.34,53951.0
16,97.69999999999999,8089.0
17,51.83000000000001,40057.0
18,264.81,33169.0
19,460.47,33143.0
20,160.79,46229.0
21,54.75,68405.0
22,151.51999999999998,68154.0
23,40.3,1368.0
24,52.879999999999995,40068.0
25,466.39,98367.0
26,142.39000000000004,67037.0
27,291.44,33142.0
28,131.67000000000002,1463.0
29,73.93,68407.0
30,170.62,43028.0
31,59.610000000000014,78102.0
32,138.66,43004.0
33,44.30000000000001,15665.0
34,95.26999999999998,60408.0
35,248.43,33177.0
36,542.0400000000001,33162.0
37,25.340000000000003,68404.0
38,118.34000000000003,78101.0
39,396.37,33150.0
40,194.02000000000004,95973.0
41,189.27000000000004,48091.0
42,199.09999999999997,32547.0
44,382.43000000000006,95661.0
45,196.01999999999998,97064.0
47,84.23000000000002,78026.0
48,258.97,43031.0
49,93.36000000000001,67052.0
50,211.31999999999994,20853.0
51,473.15999999999985,90640.0
52,155.01,48048.0
53,90.91,68310.0
54,344.3499999999999,1960.0
55,115.66000000000003,40031.0
56,98.06000000000003,57053.0
57,328.77000000000004,33160.0
58,282.03,43015.0
59,134.32000000000005,8872.0
60,29.150000000000006,15717.0
61,130.8,97537.0
62,75.37,40150.0
63,545.2299999999998,92882.0
64,106.88999999999999,55068.0
65,183.06999999999996,32526.0
66,182.28000000000003,8758.0
67,582.7099999999998,93001.0
68,214.4000000000001,20851.0
70,634.8600000000001,91306.0
71,112.70000000000002,49251.0
72,102.43,6385.0
73,104.78999999999999,12566.0
74,52.16,68317.0
75,470.0999999999999,92886.0
76,68.38000000000001,3245.0
77,69.67000000000002,17018.0
78,34.77999999999999,2807.0
79,112.90000000000003,57068.0
80,114.80999999999997,67025.0
81,141.45999999999998,20818.0
82,66.35,57035.0
83,80.79999999999998,43045.0
84,32.06999999999999,60407.0
85,131.53999999999996,60441.0
86,316.16999999999996,93309.0
87,428.15999999999997,95376.0
88,72.99000000000001,20180.0
90,490.6200000000001,91321.0
91,66.28,78046.0
92,165.82000000000005,96779.0
93,164.64000000000004,48047.0
94,178.47,32505.0
95,61.50999999999999,68366.0
96,343.4,8204.0
97,293.90999999999997,99163.0
98,394.25,2806.0
99,190.91000000000003,3301.0
100,164.77,97532.0
101,55.03999999999999,49125.0
102,224.42999999999995,20151.0
103,16.310000000000002,16833.0
104,161.96000000000004,17011.0
105,79.53999999999996,78045.0
106,47.349999999999994,68456.0
107,260.53999999999996,33141.0
108,204.78000000000003,32504.0
109,44.110000000000014,12009.0
110,201.45999999999998,49127.0
111,147.71,78070.0
112,65.41999999999999,77904.0
113,145.04999999999995,78006.0
114,69.36000000000001,77084.0
115,227.92999999999995,20850.0
116,81.76999999999998,2804.0
117,74.44999999999999,67002.0
118,299.94999999999993,33168.0
119,370.63,33154.0
120,87.85999999999999,49870.0
121,102.5,20837.0
122,67.61000000000001,20860.0
123,59.099999999999994,68358.0
124,165.22999999999996,48043.0
126,61.66,99577.0
127,54.91,67017.0
128,394.20000000000005,97756.0
129,150.55,43021.0
130,212.51999999999998,20170.0
131,11.789999999999964,77077.0
132,135.24,40014.0
133,108.60000000000002,17003.0
134,120.62,20176.0
135,300.76,97759.0
136,335.11,93306.0
137,64.88,15683.0
138,126.44,98240.0
139,126.63999999999999,98591.0
140,214.89999999999998,77071.0
141,181.93,48088.0
142,94.69,20841.0
143,502.90999999999997,33161.0
144,97.63999999999999,60439.0
145,106.41999999999999,97348.0
146,243.0,20169.0
147,105.00999999999999,16865.0
148,189.17000000000007,2809.0
149,77.00999999999999,57055.0
150,536.6999999999999,33155.0
151,34.46000000000001,16851.0
152,130.58,67030.0
153,164.25,55069.0
154,212.89999999999998,32501.0
155,86.13,20833.0
157,96.82,77074.0
158,103.13,78015.0
159,601.9100000000001,91307.0
160,56.31,56447.0
161,139.0,46342.0
162,187.1099999999999,20852.0
163,88.9,40051.0
164,85.79000000000002,40067.0
165,150.71,32536.0
166,444.47,33146.0
167,355.65999999999985,95678.0
