,hpi_change_percent,zip_code
22,267.9889361127977,78727.0
36,267.3580107374965,15201.0
43,253.59394703657003,33054.0
100,262.51547279479036,85250.0
102,277.98320497355485,90037.0
162,259.7173793356579,83644.0
279,299.19,19122.0
286,316.0627879517514,90031.0
338,251.29101944244425,85251.0
368,282.3879866155227,33034.0
461,266.7009893898017,90033.0
551,256.9742239418203,90041.0
564,329.44560515551893,90042.0
687,316.7672576386269,90032.0
721,342.74275456456536,19125.0
800,262.4382813320727,83703.0
892,267.2641537950005,78753.0
983,258.5508628913364,78756.0
1060,254.11,98266.0
1071,265.77236792571216,90220.0
1109,259.7040144496883,90221.0
1233,313.431217973985,78752.0
1255,259.8505309112434,90222.0
1300,259.6216245944013,83702.0
1315,253.01626084758615,78751.0
1392,264.7702477217302,83705.0
1689,280.7747947470269,78757.0
1771,248.42666154621608,78759.0
1803,277.42953840903266,78758.0
1936,260.89556326456085,90047.0
2030,339.4975888751822,78741.0
2044,264.8039984889432,90061.0
2087,255.24228681218017,90059.0
2168,265.1873526782086,78736.0
2192,266.9030894087158,78735.0
2199,261.8498487947499,90043.0
2231,271.1971237072218,90044.0
2347,253.07323584733936,83651.0
2351,260.80305292848846,78737.0
2451,335.51990071802146,98377.0
2561,268.3476439790576,78749.0
2636,256.13913244783987,78748.0
2672,283.01562399260706,90063.0
2709,265.23396270669645,78744.0
2748,290.9587781580426,90062.0
2770,255.86295473479595,96706.0
2784,270.012199761252,90065.0
2859,318.3548324724471,78745.0
2867,247.42566681241797,83669.0
3124,256.74861708666253,98548.0
3211,261.2076703386373,84115.0
3315,288.29063809967397,84111.0
3602,257.81633368384155,92277.0
3603,248.27108530022906,33607.0
3661,274.3665799459791,92262.0
4012,247.7022477022477,33605.0
4071,259.4142755513398,33602.0
4122,255.33357374684456,92408.0
4194,276.8779929954971,92411.0
4249,256.7150020327957,92410.0
4433,272.44637499440245,84098.0
4546,255.20999999999995,78242.0
4662,278.306228904572,14201.0
4819,263.244758148225,14213.0
5103,274.78060552874064,96792.0
5361,272.71260086902544,90006.0
5493,476.2132752992382,78702.0
5550,282.82461134223774,90007.0
5554,326.629529661747,33127.0
5778,261.7933889588357,90003.0
5818,254.04230989136653,83605.0
5853,285.25382048129285,33137.0
5879,256.93249503639976,90002.0
5909,348.88,83626.0
5919,448.05999999999995,78721.0
6031,257.19175911251983,78210.0
6036,254.22772407156287,90023.0
6108,348.8046070618347,78723.0
6113,255.8740692156333,90029.0
6115,297.55,78724.0
6124,257.01496762322637,90026.0
6150,276.58652720318474,85257.0
6179,295.7071516928575,78722.0
6206,337.9650327319176,90016.0
6240,308.7579540486715,90018.0
6339,330.91244401510494,90012.0
6474,260.76415994448786,90019.0
6477,393.18971628140184,78704.0
6596,266.49125936496614,33160.0
6845,401.2603101286703,92252.0
6869,253.87341413282297,92256.0
6999,248.903665911892,33161.0
7029,249.89167984074015,33162.0
7204,283.1156179427002,33785.0
7263,280.65,83429.0
7488,285.52376333656645,15224.0
7513,282.6442307692308,33150.0
7682,265.24349245989816,96791.0
7731,278.665164570837,85006.0
8090,310.27338540674407,83814.0
8341,266.39715199420743,20001.0
8429,264.65106538924664,83815.0
8477,249.40915522582122,20002.0
8667,254.54479989918445,91103.0
8685,275.523733757624,83801.0
9179,252.9834056447645,90302.0
9242,257.1179835834508,96779.0
9371,246.3111613085394,85014.0
9387,249.048815506102,83864.0
9617,295.09560229445503,83869.0
9787,270.5376547292828,83858.0
10054,251.93834656702475,73103.0
10055,254.5886153394352,83854.0
10115,279.34565887257565,73106.0
10328,252.2897825668655,83833.0
10335,252.44393441347518,20011.0
10743,274.77758080816443,98225.0
10804,249.87907539184226,20018.0
10851,248.49183383196822,83835.0
10856,257.9,83876.0
11215,268.51381305076495,90802.0
11496,267.23221417357536,90813.0
11737,249.9536082474227,27601.0
11873,249.51105316185624,83714.0
12010,270.52933221714216,83706.0
12254,247.4686436804956,83712.0
