,hpi_change_percent,zip_code
28,69.00695425115237,85035.0
66,113.10816527993232,12817.0
70,74.81420313790255,45416.0
151,65.0454233801851,30168.0
181,0.8107155445893522,15067.0
230,-19.690415817298927,90036.0
261,66.52956660712604,85031.0
273,70.2431709253433,85033.0
277,81.38221286964226,98377.0
314,86.98890822096567,30105.0
403,68.82247407342581,45232.0
434,66.56593040309322,85378.0
454,0.6463167730883138,27544.0
490,66.82091363110521,85017.0
508,70.25934368414262,30104.0
579,-7.034388294019256,94618.0
621,79.8755299489075,85363.0
849,83.64492358078601,85131.0
895,66.15907821937975,85123.0
988,86.43003213555362,85138.0
997,65.2656680825695,85209.0
1059,67.13790433875259,85118.0
1079,66.59700452803904,30274.0
1101,89.55198930123704,98857.0
1111,68.8664917851719,85122.0
1115,64.75332501445659,85120.0
1164,72.62689771507436,13110.0
1186,65.77107607950651,3584.0
1242,3.2329549031540403,95125.0
1243,89.23975840336135,43945.0
1298,72.5287193305914,93701.0
1342,73.56589916633583,30297.0
1388,70.54917286163429,98548.0
1410,68.29485467150036,64127.0
1418,82.88421311677126,85173.0
1436,66.16405742731402,64128.0
1612,70.2756044265877,85342.0
1632,65.85157017300865,85041.0
1649,69.83559236947788,3743.0
1656,68.18422621018476,85037.0
1681,0.9422850412249633,30182.0
1689,-8.561098951991822,95051.0
1698,69.11783081344495,85042.0
1751,-3.2733119228903425,95124.0
1798,69.78984238178633,3570.0
1909,1.6608784841559783,90027.0
1935,75.44063528956032,8045.0
1970,75.06227619492446,85335.0
2068,80.52513338949733,48649.0
2082,77.69322000395333,83628.0
2089,-1.002438363587097,61813.0
2099,3.3435897435897344,61817.0
2112,121.26484941095282,83626.0
2117,66.71214788732395,83641.0
2160,-0.7510504201680708,61348.0
2179,69.92692523889826,28339.0
2190,-14.799315198782562,94131.0
2239,2.0784130827395892,94132.0
2368,65.22631560321337,83647.0
2371,0.879682904999363,95117.0
2384,73.10273770974389,83644.0
2408,79.43387542190854,28384.0
2426,1.630045348633276,94401.0
2433,65.5267346324257,83655.0
2438,-0.99991803950495,2143.0
2444,0.5152057245080492,44880.0
2449,67.16737490529368,83661.0
2454,88.14254646105181,83429.0
2481,1.266596300205545,61874.0
2491,65.56658315667758,84314.0
2513,67.75015722749991,83211.0
2521,-9.684374050856656,94121.0
2526,76.10740413216496,28301.0
2605,3.2499814498775654,44417.0
2621,-5.1751291895400575,94116.0
2649,101.75079872204473,83334.0
2664,-3.3133101485931133,29448.0
2725,-23.50325279423602,94127.0
2758,-2.8060669999522903,94122.0
2776,-1.6029078774877832,61859.0
2823,76.2792870490154,83316.0
2856,-13.707198705850628,61486.0
2872,65.04759580180621,86046.0
2914,2.4715939425535076,94526.0
2948,65.98015225666123,22969.0
2953,-0.7866624949716136,45845.0
3049,66.49198030808321,28604.0
3096,-3.714580522263666,28636.0
3180,1.2006003001500731,61542.0
3223,65.15638702133879,28665.0
3241,-11.431958589043267,94707.0
3258,-19.320764990131348,95135.0
3264,-12.116866127234854,98040.0
3269,65.76593841829566,83811.0
3282,64.85680473372781,83815.0
3284,3.5639412997903577,44629.0
3288,67.37482970027249,83822.0
3327,65.02872171084502,14212.0
3329,3.654330264888229,2421.0
3343,-10.761617655423477,94404.0
3350,-13.918291640770668,94539.0
3380,65.90614977775279,83714.0
3391,65.09987966305656,28462.0
3428,-0.7234784269716649,94508.0
3458,67.51430661331268,83860.0
3462,1.1984475625879654,61428.0
3471,67.2618573136708,83872.0
3633,-7.073481008824185,94025.0
3682,74.57150166282938,84722.0
3844,-5.8294557431902545,94038.0
3858,-25.05410251653991,62661.0
3875,3.807821576360426,22213.0
3921,-1.739334300686232,94030.0
3933,99.66264912442112,2534.0
3977,79.97593904558211,85611.0
4000,-13.320901228484527,95130.0
4035,-10.631057505922895,94002.0
4197,-13.322679538190602,95120.0
