,hpi_change,zip_code
5,866.19,85254.0
11,1346.3600000000001,90035.0
14,842.06,75206.0
22,794.48,78727.0
35,752.49,97225.0
54,730.5200000000001,11801.0
58,695.14,92019.0
77,810.0999999999999,98273.0
91,839.8399999999999,94519.0
100,975.5600000000001,85250.0
102,1198.3300000000002,90037.0
112,1653.9699999999998,90034.0
114,713.1699999999998,34293.0
137,690.23,92029.0
139,705.8299999999999,98272.0
152,963.6799999999998,98198.0
160,657.54,97232.0
183,778.2,75218.0
186,1553.75,94703.0
214,1158.96,92675.0
217,1167.87,95112.0
218,864.72,94901.0
228,1302.2199999999998,92054.0
241,895.9,92025.0
250,1198.63,34242.0
266,970.38,94611.0
268,956.42,94518.0
272,789.4799999999999,92026.0
286,1365.1699999999998,90031.0
290,1034.21,75209.0
308,652.27,75208.0
314,696.41,90040.0
330,829.95,98404.0
337,659.5099999999999,92028.0
338,977.1200000000001,85251.0
353,1652.54,94702.0
373,1063.56,78731.0
377,708.97,11803.0
385,718.8800000000001,94107.0
390,643.69,11552.0
397,1030.9499999999998,92027.0
427,885.5100000000001,92020.0
438,1328.2999999999997,95124.0
447,1268.1,98059.0
448,813.24,92056.0
452,735.5699999999999,97229.0
470,824.2600000000001,92021.0
481,1053.62,92677.0
489,875.26,33040.0
490,1184.68,94089.0
500,1256.69,98109.0
505,971.76,2882.0
529,1575.5499999999997,94110.0
532,1429.66,90039.0
544,727.78,98498.0
551,1434.6100000000001,90041.0
554,1007.71,94558.0
555,661.3599999999999,97230.0
559,1222.4899999999998,92024.0
560,648.7499999999999,11710.0
564,2239.11,90042.0
568,815.51,92040.0
592,891.1400000000001,95407.0
595,980.6500000000001,75225.0
615,725.96,33062.0
653,911.7,75205.0
665,1170.65,92683.0
670,738.3399999999999,29403.0
671,1521.94,94112.0
676,1386.12,98026.0
687,1847.45,90032.0
691,860.9000000000001,98188.0
695,1038.46,92691.0
715,1052.66,75214.0
721,1451.0700000000002,19125.0
726,824.67,92692.0
740,1354.4099999999999,95051.0
756,1342.7199999999998,98119.0
764,1175.93,92057.0
788,844.2499999999999,92701.0
790,748.0,2906.0
796,1157.54,91775.0
818,1075.2399999999998,95472.0
832,1004.6299999999999,92806.0
837,969.74,91773.0
870,937.7999999999998,94521.0
885,1108.34,90241.0
892,884.19,78753.0
902,1751.3600000000001,94063.0
911,1117.31,90240.0
912,1137.72,91776.0
915,760.6199999999999,98366.0
924,722.9199999999998,83704.0
926,1109.04,91767.0
940,1461.1699999999998,94587.0
951,1040.08,98203.0
952,838.36,98022.0
954,1088.56,91766.0
967,970.3900000000001,90245.0
974,976.6300000000001,92807.0
989,706.3799999999999,97303.0
995,1030.8600000000001,90242.0
997,965.61,94806.0
1016,1523.6100000000001,91770.0
1018,1342.31,95125.0
1025,1220.05,91768.0
1030,666.5699999999999,98102.0
1033,837.59,95404.0
1052,1477.5199999999998,91780.0
1059,953.19,80303.0
1070,1035.0,91791.0
1071,1058.97,90220.0
1085,859.0999999999999,78750.0
1109,891.46,90221.0
1111,1432.4100000000003,91790.0
1120,1017.27,91792.0
1124,780.97,92802.0
1162,800.9,1760.0
1181,818.81,97301.0
1208,771.8000000000001,91784.0
1209,1744.7199999999998,90230.0
1228,763.5699999999999,90232.0
1244,1049.4099999999999,92805.0
1247,931.6299999999999,98002.0
1255,702.3499999999999,90222.0
1266,742.5900000000001,11757.0
1269,653.8300000000002,80302.0
1278,1116.6499999999999,91789.0
1285,990.9000000000001,92804.0
1298,887.5299999999999,80301.0
1300,944.1399999999999,83702.0
1304,1077.66,91786.0
1329,1037.4299999999998,90255.0
1331,1076.01,94061.0
1347,1047.77,91750.0
1348,703.8300000000002,27609.0
1355,1054.5900000000001,92831.0
1357,695.7800000000001,11590.0
1360,743.1800000000001,80232.0
1392,825.13,83705.0
1397,858.0999999999999,90254.0
1403,839.6600000000001,1803.0
1443,907.4999999999999,91752.0
1448,1051.1299999999999,91748.0
1457,944.4300000000001,92832.0
1459,908.51,90262.0
1470,692.9099999999999,80231.0
1474,1110.36,91745.0
1479,715.1099999999999,94710.0
1482,653.19,1821.0
1496,841.5,98204.0
1498,979.81,98258.0
1545,1294.08,90260.0
1565,941.2600000000001,27608.0
1575,1099.82,91746.0
1585,931.7,94062.0
1587,652.49,90248.0
1588,1902.44,98117.0
1602,951.8700000000001,91764.0
1603,661.25,80237.0
1616,770.6300000000001,11756.0
1649,1301.0400000000002,95008.0
1657,651.42,2043.0
1661,892.13,95138.0
1664,1087.9699999999998,91765.0
1686,1074.8600000000001,94523.0
1689,1494.48,78757.0
1702,1106.24,90247.0
1728,1196.35,91755.0
1756,774.1499999999999,98444.0
1764,1380.61,90250.0
1765,1089.23,92821.0
1768,1171.3300000000002,91754.0
1771,1035.02,78759.0
1788,1141.0,91762.0
1791,1121.14,95476.0
1797,1183.79,90249.0
