,hpi_change,zip_code
7,1286.0399999999997,91104.0
16,1139.75,91103.0
23,717.0100000000001,92264.0
38,1647.5,94601.0
39,605.7300000000001,11757.0
47,984.4899999999999,98290.0
50,736.99,33024.0
56,673.0400000000001,91106.0
73,972.93,95116.0
118,654.8800000000001,33021.0
146,635.1100000000001,84057.0
148,771.57,33023.0
170,867.27,33629.0
193,751.05,97034.0
209,662.9300000000001,33634.0
211,1118.3000000000002,94089.0
242,725.1800000000001,98445.0
244,680.3800000000001,33020.0
246,779.7199999999999,91789.0
251,946.08,91786.0
256,1508.0100000000002,92262.0
281,632.1299999999999,84093.0
284,631.0899999999999,98284.0
292,1111.0400000000002,91801.0
313,854.3200000000002,91731.0
323,766.27,84094.0
339,619.0,33055.0
340,625.0899999999999,33612.0
343,835.63,91205.0
348,723.8499999999999,94122.0
353,653.87,97003.0
360,989.26,95818.0
380,654.97,33615.0
392,788.09,33040.0
399,1427.1499999999999,98052.0
404,744.82,95864.0
428,635.6500000000001,94596.0
441,646.77,84092.0
448,1153.85,91732.0
513,650.7900000000001,97501.0
520,701.74,94708.0
521,906.3000000000002,97212.0
534,782.6800000000001,94591.0
535,620.06,92220.0
543,800.7199999999999,91730.0
545,678.6899999999999,98801.0
546,1248.79,94124.0
557,1075.79,91803.0
564,1078.97,95407.0
592,611.8,94595.0
604,696.34,33062.0
607,603.6400000000001,97478.0
612,695.6299999999999,92223.0
632,986.4000000000001,91206.0
650,1559.2300000000002,98117.0
668,1011.9000000000001,91107.0
678,583.0699999999999,92252.0
703,806.74,98404.0
711,605.3000000000001,95602.0
714,676.13,1760.0
736,835.0300000000001,95405.0
737,815.18,91737.0
743,914.0,94960.0
759,689.23,97214.0
762,860.8899999999999,95817.0
765,1073.2799999999997,94110.0
790,1206.2700000000002,91790.0
806,1310.3899999999999,94112.0
808,1054.1599999999999,95125.0
835,586.92,91202.0
857,631.5300000000001,97123.0
867,671.7700000000001,84084.0
891,919.3,97213.0
895,720.8399999999999,85202.0
912,655.5900000000001,84087.0
918,832.68,91792.0
928,745.5,94116.0
948,979.45,91201.0
950,846.8999999999999,98092.0
952,687.34,85302.0
962,713.61,98664.0
972,1494.7300000000002,95136.0
983,585.5699999999999,85203.0
998,847.8599999999999,91791.0
999,638.0900000000001,11756.0
1001,758.8399999999999,91733.0
1017,916.0999999999999,94597.0
1023,778.01,91776.0
1041,630.8200000000002,32803.0
1045,617.1299999999999,90814.0
1049,1042.45,98119.0
1060,773.31,94611.0
1065,842.7199999999999,91752.0
1076,1146.38,97701.0
1079,636.02,32804.0
1097,1547.49,98103.0
1108,962.54,91766.0
1122,620.33,33785.0
1125,881.77,85251.0
1135,1064.84,98042.0
1151,658.29,95610.0
1159,814.3699999999999,94025.0
1161,822.7499999999999,95838.0
1171,822.0199999999999,91765.0
1174,873.6899999999999,90810.0
1188,839.5100000000001,32789.0
1192,1065.22,95148.0
1202,701.02,33781.0
1214,1065.98,95401.0
1219,729.4200000000001,33755.0
1223,874.9499999999999,90813.0
