,hpi_change,zip_code
24,358.0999999999999,80002.0
46,575.6699999999998,98155.0
55,376.03,98444.0
60,552.1099999999999,98021.0
69,343.1299999999999,93905.0
72,304.64999999999986,80224.0
77,345.68999999999994,85029.0
91,382.74,93906.0
101,608.5800000000002,98006.0
113,515.95,95121.0
124,334.5999999999999,93907.0
132,349.23,85281.0
133,503.2900000000001,85250.0
142,377.89,80228.0
145,339.60000000000014,98388.0
153,480.7600000000002,95123.0
156,428.22,98075.0
160,448.8299999999999,85032.0
167,335.75,94589.0
184,311.97,80226.0
187,357.28999999999985,99362.0
188,317.0,89503.0
218,341.48,80232.0
226,358.30000000000007,98188.0
228,301.3499999999999,80231.0
230,-237.62,90036.0
231,456.37,85251.0
257,322.3699999999999,95746.0
262,354.25,98446.0
263,305.28999999999996,97221.0
270,339.66999999999985,98108.0
288,466.52,80305.0
298,370.9100000000001,90041.0
310,521.25,85018.0
315,310.3299999999999,85258.0
316,389.03,93940.0
327,344.84000000000015,80401.0
335,335.3699999999999,11720.0
351,336.94000000000005,80303.0
357,369.65999999999997,85020.0
362,298.55999999999995,95128.0
366,402.96000000000004,94619.0
371,463.71000000000004,98074.0
382,470.6200000000001,80304.0
386,354.69999999999993,85257.0
398,314.8699999999999,93933.0
432,316.3900000000001,11520.0
436,292.92999999999984,94621.0
457,724.6300000000001,90043.0
503,630.1199999999999,90042.0
526,428.3499999999999,93950.0
529,325.87,85016.0
536,401.6100000000001,85260.0
546,340.6600000000001,97005.0
549,485.46000000000004,98023.0
579,-160.23000000000002,94618.0
621,293.91,85363.0
622,409.4699999999998,98105.0
625,365.03999999999985,95838.0
652,452.4200000000001,98103.0
653,367.26,90037.0
654,427.1299999999999,85028.0
680,525.56,94587.0
694,303.13,85027.0
706,387.6,98022.0
729,323.90999999999997,85373.0
763,387.2800000000001,85021.0
764,331.66999999999985,80301.0
768,293.28999999999996,94585.0
778,445.24,85254.0
798,385.31000000000006,85023.0
799,440.3099999999997,95062.0
825,301.74,90039.0
840,323.5,85022.0
844,445.44000000000005,94605.0
868,377.95000000000005,90004.0
878,425.3599999999999,98008.0
879,343.82000000000005,80123.0
889,463.3699999999999,98087.0
902,453.82000000000016,90003.0
956,307.0300000000001,93705.0
957,324.44000000000005,80122.0
958,338.65,11727.0
967,407.79999999999995,95122.0
976,299.1700000000001,11003.0
987,476.98,94601.0
989,330.31999999999994,80121.0
993,415.5,90023.0
995,338.36,93710.0
1022,361.07000000000016,90001.0
1054,320.4000000000001,94608.0
1083,386.25,90002.0
1109,565.8,98012.0
1122,356.2099999999999,80128.0
1134,294.7600000000001,80127.0
1142,461.97,98178.0
1167,383.03999999999996,94603.0
1173,381.2299999999999,85202.0
1196,439.1299999999999,98092.0
1200,295.02,85304.0
1202,333.78999999999996,90011.0
1205,350.48,80110.0
1212,422.9000000000001,90019.0
1216,310.9,93702.0
1217,515.0799999999999,94804.0
1227,322.80999999999995,85203.0
1257,331.3600000000001,94702.0
1258,342.1700000000001,90018.0
1263,496.19000000000005,90016.0
1289,363.69000000000005,85302.0
1308,487.52,98011.0
1319,368.74,90022.0
1326,346.65999999999985,98106.0
1328,331.98,94602.0
1371,354.2700000000001,98445.0
1392,508.0999999999999,98177.0
1398,329.06999999999994,80112.0
1399,303.29999999999995,80111.0
1414,341.70000000000005,80033.0
1421,314.28,94606.0
1434,336.64999999999986,80113.0
1443,374.71000000000004,90008.0
1453,292.15999999999997,11729.0
1454,410.99,98168.0
1476,372.68000000000006,85044.0
1480,299.6300000000001,93728.0
1485,613.0,90032.0
1524,309.88,80005.0
1526,404.2099999999998,98166.0
1554,454.9399999999998,90031.0
1560,471.5,80211.0
1562,481.3799999999999,95060.0
1580,403.7900000000002,94805.0
1592,366.96000000000004,80212.0
1601,330.67999999999995,98467.0
1604,369.38,85283.0
1623,377.97,93901.0
1643,341.70000000000005,80003.0
1647,387.82000000000016,80222.0
1665,324.53999999999996,94590.0
1680,532.23,98020.0
1689,-229.22000000000025,95051.0
1695,502.8399999999999,95127.0
1699,459.54999999999995,80219.0
1709,294.20000000000005,94591.0
1721,337.81999999999994,94803.0
1731,332.13,85282.0
1740,378.08000000000004,80004.0
1743,301.18000000000006,89509.0
1751,-81.64000000000033,95124.0
1754,322.5,11725.0
1755,420.19000000000005,80220.0
1786,295.8499999999999,94597.0
1833,356.5999999999999,98014.0
1848,319.30000000000007,97223.0
1855,452.5799999999999,98107.0
1893,324.39,93722.0
1930,447.8799999999999,98077.0
1932,370.69000000000005,98007.0
1945,451.70000000000005,80209.0
1947,301.5799999999999,95242.0
1950,299.78,93726.0
1987,465.53,80210.0
1999,301.12,85053.0
2029,416.5,80206.0
2034,445.72,80207.0
2067,389.06999999999994,94521.0
2083,494.94000000000005,98037.0
2103,328.4000000000001,85716.0
2119,449.66999999999985,94544.0
2125,320.14,95204.0
2127,337.71000000000004,95826.0
2137,338.6099999999999,84116.0
2138,399.8499999999999,98055.0
2145,328.85,84117.0
2151,303.76,97211.0
2169,414.0,84121.0
2181,467.35000000000014,98125.0
2190,-357.87999999999965,94131.0
2204,417.6100000000001,94546.0
2215,322.22,29412.0
2227,516.81,94545.0
2253,411.9999999999999,98405.0
2258,295.0799999999999,87505.0
2270,429.80999999999995,94541.0
2273,339.30000000000007,84107.0
2280,375.74,83702.0
2289,367.1700000000001,84108.0
2298,298.47,23221.0
2311,320.25,23220.0
2323,370.7099999999999,83704.0
2346,427.63,84106.0
2352,458.99,98409.0
2356,337.1700000000001,95205.0
2364,293.8700000000001,87501.0
2379,354.85,85719.0
2385,322.51,11753.0
2398,321.37,97103.0
2415,342.3499999999999,11704.0
2425,429.53,98038.0
2427,373.51999999999987,95820.0
2434,396.66999999999985,84109.0
2436,298.8499999999999,94542.0
2461,467.1400000000001,98126.0
2476,424.42999999999984,95076.0
2489,696.1199999999999,98034.0
2506,379.6600000000001,95818.0
2521,-194.5,94121.0
2527,563.97,94550.0
2553,349.91999999999996,96145.0
2596,352.8599999999999,95207.0
2606,349.97,97213.0
2607,298.03,11746.0
2620,490.7199999999998,94551.0
2621,-102.85000000000014,94116.0
2626,374.11,98404.0
2654,346.09000000000015,94547.0
2662,475.25,98466.0
2667,409.31999999999994,84124.0
2671,534.6799999999998,98036.0
2676,296.11,29451.0
2692,313.57000000000016,97212.0
2720,321.9000000000001,84123.0
2725,-534.3299999999999,94127.0
2750,382.3899999999999,29464.0
2757,315.97,85711.0
2788,364.56999999999994,95133.0
2799,358.1700000000001,84129.0
2812,309.82000000000005,97008.0
2821,361.0799999999999,94549.0
2829,491.92999999999984,98056.0
2838,469.40999999999985,98115.0
2850,507.5799999999999,95136.0
2888,588.0799999999999,98043.0
2889,340.09000000000003,95824.0
2905,489.99,98118.0
2910,535.4500000000003,98117.0
2941,314.79999999999995,94510.0
2943,391.84000000000015,95822.0
2952,357.15,84010.0
2965,365.57000000000005,84084.0
2999,373.53999999999996,94530.0
3008,516.1600000000001,98407.0
3064,348.19000000000005,97202.0
3065,355.8699999999999,94519.0
3075,305.75,95138.0
3080,390.6300000000001,94523.0
3090,350.19000000000005,84057.0
3101,347.2999999999997,94706.0
3107,332.4200000000001,11757.0
3108,375.3699999999999,94520.0
3138,326.48,95116.0
3144,422.1,98408.0
3146,368.7600000000001,86004.0
3148,352.3699999999999,98801.0
3153,304.53,84040.0
3167,331.47,94517.0
3171,298.67999999999995,84037.0
3190,380.2600000000001,86001.0
3201,318.24,95823.0
3212,377.16999999999985,94518.0
3215,505.8399999999999,98045.0
3232,311.4599999999999,95821.0
3241,-223.72000000000003,94707.0
3255,369.6700000000001,94538.0
3258,-283.8799999999999,95135.0
3264,-250.08000000000015,98040.0
3273,299.73,28465.0
3281,357.3600000000001,94536.0
3307,479.73,95111.0
3312,315.61,83814.0
3324,312.28999999999996,28801.0
3330,413.63,83706.0
3333,364.1200000000001,98053.0
3343,-151.36000000000013,94404.0
3344,366.8699999999999,83709.0
3350,-286.6500000000001,94539.0
3351,521.73,84105.0
3353,407.89,83705.0
3355,323.3699999999999,95203.0
3388,386.09000000000015,94501.0
3389,448.24,98406.0
3396,456.02,98116.0
3407,339.58000000000004,84103.0
3421,298.69000000000005,81623.0
3427,544.4199999999998,98042.0
3455,375.2099999999999,84092.0
3473,385.1,94509.0
3511,363.94000000000005,84087.0
3534,416.63,84094.0
3545,344.3599999999999,97206.0
3589,544.6699999999998,98052.0
3591,357.81999999999994,84093.0
3622,508.25,98027.0
3633,-175.1500000000001,94025.0
3666,342.53999999999996,27608.0
3669,495.8699999999999,94568.0
3681,335.5100000000001,27609.0
3703,355.83000000000004,7740.0
3748,296.66999999999996,84770.0
3763,326.94000000000005,80521.0
3816,476.69000000000005,98028.0
3828,334.1400000000001,11776.0
3848,543.2200000000003,98144.0
3855,323.0100000000001,95215.0
3874,364.22,94565.0
3878,298.67999999999995,11741.0
3933,324.96999999999997,2534.0
3941,353.29999999999995,80537.0
3986,313.53,97217.0
3989,309.45000000000005,8008.0
3990,300.84000000000003,98837.0
4000,-313.5899999999999,95130.0
4006,335.25,85008.0
4025,323.80999999999995,95065.0
4035,-172.76,94002.0
4039,403.25,94579.0
4042,313.51,98024.0
4055,441.19000000000005,85006.0
4071,405.0,94578.0
4079,335.9100000000001,94005.0
4098,360.55999999999995,97219.0
4107,436.2499999999998,94580.0
4111,317.6,85013.0
4124,415.14999999999986,93955.0
4156,296.61,95831.0
4183,333.78999999999996,98109.0
4194,505.4200000000001,98072.0
4197,-245.10000000000014,95120.0
4198,-310.87,94010.0
4202,339.39,98632.0
4207,318.31999999999994,80501.0
4208,488.3800000000001,98146.0
4245,618.79,98026.0
4280,315.9,80503.0
4327,332.05000000000007,11784.0
4345,300.25,30060.0
4346,413.53999999999996,98391.0
4353,366.72,94577.0
4380,-287.56999999999994,95129.0
4404,294.03999999999996,95816.0
4413,307.26,95209.0
4416,-373.1899999999998,94086.0
4426,489.48,98058.0
4453,389.0100000000001,98032.0
4466,293.81999999999994,81501.0
4472,297.4100000000001,95828.0
4483,-203.15999999999985,94087.0
4491,318.88,81301.0
4505,365.81000000000006,98422.0
4513,393.08000000000015,94559.0
4533,483.28999999999996,98031.0
4541,341.22,98403.0
4557,371.97,94558.0
4584,373.07000000000016,95118.0
