Name,State_Num,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
West Virginia,35,State,1980,1949644,11.8,81.1,27,4,0,"487,411"
West Virginia,35,State,1990,1793477,-8,74.6,28,3,-1,"600,542"
West Virginia,35,State,2000,1808344,0.8,75.2,31,3,0,"604,359"
West Virginia,35,State,2010,1852994,2.5,77.1,31,3,0,"619,938"
West Virginia,35,State,2020,1793716,-3.2,74.6,31,2,-1,"897,523"
Wisconsin,30,State,1910,2333860,12.8,43.1,24,11,0,"212,078"
Wisconsin,30,State,1920,2632067,12.8,48.6,24,11,0,"239,210"
Wisconsin,30,State,1930,2939006,11.7,54.3,22,10,-1,"293,172"
Wisconsin,30,State,1940,3137587,6.8,57.9,22,10,0,"313,759"
Wisconsin,30,State,1950,3434575,9.5,63.4,23,10,0,"343,458"
Wisconsin,30,State,1960,3951777,15.1,73,25,10,0,"395,178"
Wisconsin,30,State,1970,4417731,11.8,81.6,24,9,-1,"494,113"
Wisconsin,30,State,1980,4705767,6.5,86.9,26,9,0,"522,815"
Wisconsin,30,State,1990,4891769,4,90.3,26,9,0,"545,194"
Wisconsin,30,State,2000,5363675,9.6,99,26,8,-1,"671,401"
Wisconsin,30,State,2010,5686986,6,105,25,8,0,"712,279"
Wisconsin,30,State,2020,5893718,3.6,108.8,27,8,0,"737,184"
Wyoming,44,State,1910,145965,57.7,1.5,50,1,0,"144,658"
Wyoming,44,State,1920,194402,33.2,2,50,1,0,"193,487"
Wyoming,44,State,1930,225565,16,2.3,50,1,0,"223,630"
Wyoming,44,State,1940,250742,11.2,2.6,50,1,0,"250,742"
Wyoming,44,State,1950,290529,15.9,3,50,1,0,"290,529"
Wyoming,44,State,1960,330066,13.6,3.4,50,1,0,"330,066"
Wyoming,44,State,1970,332416,0.7,3.4,51,1,0,"335,719"
Wyoming,44,State,1980,469557,41.3,4.8,51,1,0,"470,816"
Wyoming,44,State,1990,453588,-3.4,4.7,51,1,0,"455,975"
Wyoming,44,State,2000,493782,8.9,5.1,51,1,0,"495,304"
Wyoming,44,State,2010,563626,14.1,5.8,51,1,0,"568,300"
Wyoming,44,State,2020,576851,2.3,5.9,51,1,0,"577,719"
