,zip_code,Annual Change (%)
78,1330,8.682500000000001
647,3777,9.54
670,3846,22.39
673,3854,9.1575
1101,8103,8.32
1102,8104,10.84142857142857
1203,8738,10.486666666666666
1260,10922,24.92
1404,11930,18.285
1458,12062,8.81
1460,12066,11.08
1656,13204,14.626
1663,13211,7.478
1700,13624,7.3925
1769,14201,9.144
1785,14222,7.645
1823,14481,14.575
1829,14504,10.49
1837,14516,7.653333333333333
1866,14608,7.978
1900,14840,7.731999999999999
1991,15224,7.369999999999999
2064,15944,8.81
2103,16154,8.325
2132,16666,7.5649999999999995
2197,17103,9.26125
2256,17401,8.67375
2287,17554,7.343750000000001
2412,18424,12.024999999999999
2416,18447,7.54375
2441,18923,8.59
2445,18932,13.63
2556,19139,7.698
2577,19319,7.91
2643,19555,8.213750000000001
2882,20896,7.90125
3182,22738,10.01
3451,27325,7.4719999999999995
3572,28137,9.115
3577,28301,12.931999999999999
3599,28371,10.942499999999999
3603,28377,11.7125
3668,28669,13.235
3806,29583,9.045
3817,29624,7.530000000000001
3869,29940,7.960000000000001
4116,31016,8.54
4504,33136,9.47
4507,33139,9.43
4964,35083,7.409999999999999
5121,36052,7.58
5206,36611,11.1725
5244,37318,11.096666666666666
5884,43840,22.27
6087,44454,16.07
6146,44695,8.73
6189,44867,16.095
6315,45326,8.14
6330,45363,7.343999999999999
6389,45786,9.17
6440,46039,11.575000000000001
6669,47231,8.5075
6716,47436,8.2475
7056,48885,16.88
7104,49061,7.645999999999999
7420,52728,7.790000000000001
7657,55087,19.28
7881,56088,8.942499999999999
7997,57043,8.2425
8349,60942,8.764
8462,61415,14.32
8612,62540,8.685
8787,64167,19.26
8834,65243,7.9975000000000005
9090,68366,7.3475
9222,70518,8.25875
9827,76446,7.4975
9828,76449,12.002500000000001
9874,77009,8.77
9896,77037,9.565
9897,77038,7.484
9946,77093,11.42
10009,77465,8.03
10034,77518,7.8740000000000006
10082,78002,12.3175
10083,78003,8.17
10106,78123,12.5375
10127,78219,7.9399999999999995
10186,78623,7.59
10198,78648,11.432500000000001
10243,78754,9.623333333333333
10266,79536,10.094999999999999
10422,80483,10.526
10423,80487,7.3725
10507,81621,9.9225
10508,81623,8.1525
10534,83334,8.8275
10888,85619,10.013333333333334
11177,90292,7.502857142857143
11379,91917,14.349999999999998
11577,92603,7.87
11586,92625,7.496
11600,92661,7.925
11678,93108,7.875
11801,93660,8.353333333333333
12312,96146,7.815714285714286
12318,96706,9.209999999999999
12321,96712,10.2575
12335,96744,7.3374999999999995
12349,96786,7.645
12350,96789,7.77125
12353,96792,9.6475
12356,96797,8.13875
12357,96813,7.74125
12358,96815,8.65375
12361,96818,7.34875
12362,96819,8.03125
12383,97021,9.3925
12487,97333,7.3275
12553,97453,7.6375
12615,97813,8.969999999999999
12618,97827,8.3
12619,97836,7.609999999999999
12625,97876,7.672499999999999
12628,97913,7.328
12634,98004,8.02
12662,98040,7.345
12665,98045,7.4825
12684,98102,7.7725
12685,98103,7.3374999999999995
12686,98105,7.515
12687,98106,7.44375
12690,98109,8.41875
12695,98117,7.31625
12714,98201,7.805
12721,98225,7.74375
12723,98229,7.45125
12726,98233,7.72125
12727,98236,8.23
12733,98247,8.075
12734,98248,7.45875
12735,98249,7.41375
12741,98260,7.79
12743,98264,7.391249999999999
12749,98274,7.77375
12755,98284,8.379999999999999
12906,98857,11.962499999999999
12930,99336,7.425
12931,99337,8.80875
12936,99354,7.59
